ABW	Aruba	Aruban
URY	Uruguay	Uruguayan
USA	United States	American
UZB	Uzbekistan	Uzbekistani
VAT	Holy See (Vatican City State)	N/A
VCT	Saint Vincent and the Grenadines	Vincentian
VEN	Bolivarian Republic of Venezuela	Venezuelan
VGB	Virgin Islands, British	British Virgin Islander
VIR	Virgin Islands, U.S.	American
VNM	Viet Nam	Vietnamese
VUT	Vanuatu	Ni-Vanuatu
WLF	Wallis and Futuna	Wallisian/Futunan
WSM	Samoa	Samoan
YEM	Yemen	Yemeni
ZAF	South Africa	South African
ZMB	Zambia	Zambian
ZWE	Zimbabwe	Zimbabwean
GBD	British Overseas Territories	British
GBN	British National (Overseas)	British
GBO	British Overseas	British
GBP	British protected person	British
GBS	British subject	British
UNO	United Nations Organisation	United Nations
UNA	United Nations Agency	United Nations
UNK	United Nations Interim Administration Mission in Kosovo	United Nations
XIM	African Export-Import Bank	African Export-Import Bank
XCC	Caribbean Community	Caribbean Community
XCO	Common Market for Eastern and Southern Africa	Common Market for Eastern and Southern Africa
XPO	Interpol	Interpol
XOM	Sovereign Military Order of Malta	Maltese
XXA	Stateless person	Stateless
XXB	Refugee, article 1 of 1951 convention	Refugee
XXC	Refugee, other	Refugee
XXX	Unspecified nationality	Unspecified
